stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
5168F,,"VEREMAN",,  50.865279,   4.292912,,,0,
5170,,"HUNDERENVELD",,  50.867042,   4.281318,,,0,
5172F,,"COLLEGE S.-COEUR",,  50.867115,   4.313479,,,0,
5174,,"AZUR",,  50.866722,   4.286958,,,0,
5174F,,"AZUR",,  50.866731,   4.286858,,,0,
5175,,"WIELS",,  50.824182,   4.327395,,,0,
5200F,,"ROFFIAEN",,  50.819680,   4.381652,,,0,
5205,,"ETTERBEEK GARE",,  50.822187,   4.388819,,,0,
5208,,"CAMBRE-ETOILE",,  50.816372,   4.376301,,,0,
5210,,"BASCULE",,  50.814979,   4.367815,,,0,
5211,,"LONGCHAMP",,  50.811923,   4.367234,,,0,
5212,,"GOSSART",,  50.811392,   4.361586,,,0,
5213,,"CAVELL",,  50.811554,   4.356734,,,0,
5219F,,"CHURCHILL",,  50.812147,   4.352676,,,0,
5220F,,"CHURCHILL",,  50.811805,   4.354662,,,0,
5221F,,"CHURCHILL",,  50.812039,   4.353087,,,0,
5222F,,"CHURCHILL",,  50.811680,   4.355358,,,0,
5223F,,"PARC DES SOURCES",,  50.837131,   4.435076,,,0,
5224F,,"PARC DES SOURCES",,  50.836827,   4.434906,,,0,
5225F,,"VOOT",,  50.840564,   4.436723,,,0,
5226F,,"VOOT",,  50.839505,   4.435861,,,0,
5227F,,"WOLUWE SHOPPING",,  50.844597,   4.438395,,,0,
5228F,,"WOLUWE SHOPPING",,  50.844246,   4.438232,,,0,
5229F,,"ROODEBEEK",,  50.847523,   4.436331,,,0,
5230F,,"ROODEBEEK",,  50.847593,   4.436900,,,0,
5253,,"CAVELL",,  50.811401,   4.358465,,,0,
5254,,"GOSSART",,  50.811455,   4.363275,,,0,
5255,,"LONGCHAMP",,  50.811977,   4.367858,,,0,
5255F,,"LONGCHAMP",,  50.811977,   4.367858,,,0,
5256,,"BASCULE",,  50.814988,   4.368213,,,0,
5256F,,"BASCULE",,  50.815060,   4.368552,,,0,
5258,,"CAMBRE-ETOILE",,  50.816489,   4.377479,,,0,
5261,,"ETTERBEEK GARE",,  50.822385,   4.389373,,,0,
5264F,,"ROFFIAEN",,  50.819997,   4.383243,,,0,
5265F,,"VUB",,  50.824739,   4.394029,,,0,
5266F,,"VUB",,  50.824533,   4.393504,,,0,
5267,,"ARSENAL",,  50.826578,   4.397745,,,0,
5269F,,"AUDERGHEM-SHOP.",,  50.816286,   4.426179,,,0,
5270F,,"ROND-PT SOUVERAIN",,  50.819305,   4.429092,,,0,
5271F,,"EMPAIN",,  50.824976,   4.431867,,,0,
5272F,,"MUSEE DU TRAM",,  50.832329,   4.432587,,,0,
5273,,"MUSEE DU TRAM",,  50.832276,   4.432445,,,0,
5273F,,"MUSEE DU TRAM",,  50.832276,   4.432445,,,0,
5274F,,"PENTATHLON",,  50.860596,   4.401520,,,0,
5275F,,"EVERE SHOPPING",,  50.867644,   4.402860,,,0,
5277F,,"LEKAERTS",,  50.871868,   4.406657,,,0,
5278F,,"EVERE SHOPPING",,  50.866727,   4.402505,,,0,
5279F,,"PENTATHLON",,  50.860471,   4.401548,,,0,
5281G,,"MUSEE DU TRAM",,  50.831420,   4.432911,,,0,
5282F,,"EMPAIN",,  50.823988,   4.431525,,,0,
5283F,,"ROND-PT SOUVERAIN",,  50.819207,   4.428652,,,0,
5284F,,"AUDERGHEM-SHOP.",,  50.815981,   4.425924,,,0,
5287,,"MUSEE DU TRAM",,  50.831884,   4.432601,,,0,
5291F,,"JULES DE TROOZ",,  50.872153,   4.360910,,,0,
5295,,"DUYSBURGH",,  50.883341,   4.338840,,,0,
5296B,,"BIZET",,  50.825126,   4.297987,,,0,
5297B,,"BIZET",,  50.825454,   4.298142,,,0,
5298,,"BORDET STATION",,  50.878860,   4.409987,,,0,
5298F,,"BORDET STATION",,  50.878941,   4.409945,,,0,
5299,,"BORDET STATION",,  50.878788,   4.410101,,,0,
5299F,,"BORDET STATION",,  50.878788,   4.410101,,,0,
5303,,"DEMOLDER",,  50.871801,   4.380544,,,0,
5305G,,"LOUIS BERTRAND",,  50.865454,   4.385088,,,0,
5306G,,"HELIOTROPES",,  50.862532,   4.386934,,,0,
5307G,,"CHAZAL",,  50.860428,   4.393069,,,0,
5308,,"LEOPOLD III",,  50.856759,   4.397583,,,0,
5308F,,"LEOPOLD III",,  50.856750,   4.397569,,,0,
5311,,"ARSENAL",,  50.826411,   4.397181,,,0,
5312,,"PETILLON",,  50.829295,   4.402321,,,0,
5315,,"SCHAERBEEK GARE",,  50.877411,   4.379423,,,0,
5317G,,"HOP. PAUL BRIEN",,  50.868016,   4.385345,,,0,
5320,,"SCHAERBEEK GARE",,  50.878119,   4.380221,,,0,
5350G,,"HOP. PAUL BRIEN",,  50.868933,   4.384692,,,0,
5352,,"PETILLON",,  50.829546,   4.402804,,,0,
5354H,,"LEOPOLD III",,  50.857047,   4.397456,,,0,
5355,,"CHAZAL",,  50.861129,   4.391336,,,0,
5356,,"HELIOTROPES",,  50.863513,   4.385826,,,0,
5357,,"LOUIS BERTRAND",,  50.866749,   4.385387,,,0,
5359,,"DEMOLDER",,  50.872251,   4.379834,,,0,
5361,,"BORDET STATION",,  50.878438,   4.409788,,,0,
5361F,,"BORDET STATION",,  50.878456,   4.409817,,,0,
5362,,"BORDET STATION",,  50.878150,   4.409944,,,0,
5362F,,"BORDET STATION",,  50.878141,   4.409916,,,0,
5398F,,"POLYCL. BRUGMANN",,  50.889219,   4.334089,,,0,
5399F,,"POLYCL. BRUGMANN",,  50.889039,   4.334672,,,0,
5402,,"STIENON",,  50.890647,   4.330038,,,0,
5403,,"HOPITAL BRUGMANN",,  50.886036,   4.333523,,,0,
5404,,"BAILLI",,  50.826837,   4.364068,,,0,
5405,,"STEPHANIE",,  50.832985,   4.357751,,,0,
5406,,"DEFACQZ",,  50.828607,   4.362280,,,0,
5407,,"ULB",,  50.814061,   4.384119,,,0,
5407F,,"ULB",,  50.814061,   4.384119,,,0,
5408,,"VLEURGAT",,  50.822980,   4.368042,,,0,
5409,,"ABBAYE",,  50.818926,   4.370739,,,0,
5413F,,"SOLBOSCH",,  50.810501,   4.385849,,,0,
5414F,,"MARIE-JOSE",,  50.806384,   4.387635,,,0,
5415,,"BRESIL",,  50.802634,   4.390584,,,0,
5415F,,"BRESIL",,  50.802634,   4.390584,,,0,
5416,,"BOONDAEL GARE",,  50.801169,   4.393449,,,0,
5416F,,"BOONDAEL GARE",,  50.801169,   4.393449,,,0,
5418,,"HIPPOD. BOITSFORT",,  50.796898,   4.397475,,,0,
5419,,"COCCINELLES",,  50.796294,   4.401659,,,0,
5420F,,"BOITSFORT GARE",,  50.795447,   4.407814,,,0,
5421,,"DELLEUR",,  50.795733,   4.413573,,,0,
5422,,"WIENER",,  50.798194,   4.418753,,,0,
5423,,"FAUCONNERIE",,  50.801015,   4.422699,,,0,
5424,,"HIPPOD. BOITSFORT",,  50.797123,   4.394944,,,0,
5426,,"HERRMANN-DEBROUX",,  50.811881,   4.427820,,,0,
5427,,"HERRMANN-DEBROUX",,  50.811647,   4.427621,,,0,
5430,,"FAUCONNERIE",,  50.800907,   4.422359,,,0,
5451,,"BOONDAEL GARE",,  50.801438,   4.393009,,,0,
5451F,,"BOONDAEL GARE",,  50.801438,   4.393009,,,0,
5452,,"WIENER",,  50.798140,   4.418256,,,0,
5453,,"DELLEUR",,  50.795670,   4.412949,,,0,
5454F,,"BOITSFORT GARE",,  50.795573,   4.407147,,,0,
5455,,"COCCINELLES",,  50.796555,   4.400212,,,0,
5456,,"HIPPOD. BOITSFORT",,  50.797015,   4.397063,,,0,
5458,,"GENDARMES",,  50.799463,   4.379178,,,0,
5459,,"BRESIL",,  50.802868,   4.390400,,,0,
5459F,,"BRESIL",,  50.802859,   4.390385,,,0,
5460F,,"MARIE-JOSE",,  50.806653,   4.387677,,,0,
5461F,,"SOLBOSCH",,  50.810834,   4.385835,,,0,
5462F,,"ULB",,  50.813657,   4.384332,,,0,
5466,,"ABBAYE",,  50.819834,   4.370512,,,0,
5467,,"VLEURGAT",,  50.824108,   4.366996,,,0,
5468,,"JEANNE",,  50.815500,   4.383566,,,0,
5469,,"DEFACQZ",,  50.829416,   4.361541,,,0,
5470,,"STEPHANIE",,  50.833183,   4.357651,,,0,
5471,,"HOPITAL BRUGMANN",,  50.886216,   4.333964,,,0,
5472,,"STIENON",,  50.890881,   4.330308,,,0,
5475,,"BAILLI",,  50.827628,   4.363358,,,0,
5480,,"LA CHASSE",,  50.830988,   4.389874,,,0,
5501,,"GJ MARTIN",,  50.836753,   4.411540,,,0,
5502,,"LEOPOLD II",,  50.836257,   4.415230,,,0,
5503,,"JULES CESAR",,  50.834663,   4.421915,,,0,
5504,,"CHIEN VERT",,  50.835002,   4.428247,,,0,
5507,,"DE VILLALOBAR",,  50.827840,   4.438996,,,0,
5508,,"MADOUX",,  50.827135,   4.444942,,,0,
5509,,"RUE AU BOIS",,  50.831131,   4.451677,,,0,
5510,,"AVIATION",,  50.834696,   4.456609,,,0,
5512,,"ESCRIME",,  50.838718,   4.463999,,,0,
5531,,"GJ MARTIN",,  50.836834,   4.411412,,,0,
5551,,"ESCRIME",,  50.838098,   4.463160,,,0,
5553,,"AVIATION",,  50.834894,   4.456936,,,0,
5554,,"RUE AU BOIS",,  50.830978,   4.451379,,,0,
5555,,"MADOUX",,  50.827387,   4.444659,,,0,
5556,,"DE VILLALOBAR",,  50.827858,   4.438684,,,0,
5559,,"CHIEN VERT",,  50.835083,   4.427821,,,0,
5560,,"JULES CESAR",,  50.834960,   4.420425,,,0,
5561F,,"LEOPOLD II",,  50.836239,   4.415443,,,0,
5562,,"GJ MARTIN",,  50.837598,   4.412094,,,0,
5601,,"TROIS COULEURS",,  50.821865,   4.447474,,,0,
5602,,"AUDERGHEM-FORET",,  50.818474,   4.450647,,,0,
5603,,"DREVE DES BRULES",,  50.818892,   4.457204,,,0,
5604,,"TIR AUX PIGEONS",,  50.819810,   4.467423,,,0,
5605,,"QUATRE BRAS",,  50.820296,   4.476975,,,0,
5611,,"MUSEE D'IXELLES",,  50.829965,   4.369547,,,0,
5612,,"MUSEE D'IXELLES",,  50.829785,   4.369746,,,0,
5655,,"QUATRE BRAS",,  50.820449,   4.476777,,,0,
5656,,"TIR AUX PIGEONS",,  50.819863,   4.467693,,,0,
5657,,"DREVE DES BRULES",,  50.818973,   4.457374,,,0,
5658,,"AUDERGHEM-FORET",,  50.818609,   4.450335,,,0,
5659,,"TROIS COULEURS",,  50.822144,   4.447460,,,0,
5700G,,"DE WAND",,  50.895098,   4.357463,,,0,
5701,,"ESPLANADE",,  50.900108,   4.348126,,,0,
5704F,,"ARAUCARIA",,  50.892871,   4.363956,,,0,
5705,,"BUISSONNETS",,  50.891291,   4.368867,,,0,
5706,,"HEEMBEEK",,  50.888468,   4.375248,,,0,
5707,,"VAN PRAET",,  50.881583,   4.373300,,,0,
5710F,,"VERBOEKHOVEN",,  50.871388,   4.375288,,,0,
5711F,,"PAVILLON",,  50.869258,   4.370997,,,0,
5712F,,"RUBENS",,  50.866633,   4.368738,,,0,
5714,,"THOMAS",,  50.865348,   4.362872,,,0,
5718,,"ORBAN",,  50.826901,   4.327151,,,0,
5719,,"SAINT-DENIS",,  50.809901,   4.317548,,,0,
5719H,,"SAINT-DENIS",,  50.809871,   4.317575,,,0,
5720,,"MAX WALLER",,  50.806398,   4.314093,,,0,
5720F,,"MAX WALLER",,  50.806418,   4.314060,,,0,
5721,,"NEERSTALLE",,  50.800828,   4.317514,,,0,
5721G,,"NEERSTALLE",,  50.800837,   4.317471,,,0,
5722,,"MERLO",,  50.798779,   4.319388,,,0,
5722F,,"MERLO",,  50.798779,   4.319374,,,0,
5723B,,"CARREFOUR STALLE",,  50.796326,   4.321178,,,0,
5723G,,"CARREFOUR STALLE",,  50.796326,   4.321178,,,0,
5724,,"KEYENBEMPT",,  50.793224,   4.320302,,,0,
5725,,"RODTS",,  50.790885,   4.317808,,,0,
5727F,,"DROGENBOS CHATEAU",,  50.785581,   4.318164,,,0,
5729,,"GRAND'ROUTE",,  50.787442,   4.317400,,,0,
5731F,,"DROGENBOS CHATEAU",,  50.785857,   4.318030,,,0,
5735,,"GILLON",,  50.855891,   4.366991,,,0,
5740,,"VERBOEKHOVEN",,  50.871379,   4.375217,,,0,
5741,,"PAVILLON",,  50.869914,   4.371608,,,0,
5742B,,"STEPHENSON",,  50.869591,   4.367190,,,0,
5751,,"GRAND'ROUTE",,  50.787739,   4.317542,,,0,
5753F,,"RODTS",,  50.790023,   4.318206,,,0,
5754,,"KEYENBEMPT",,  50.793422,   4.320543,,,0,
5756,,"MERLO",,  50.799112,   4.319416,,,0,
5756F,,"MERLO",,  50.799094,   4.319416,,,0,
5757,,"ORBAN",,  50.827270,   4.327492,,,0,
5757F,,"ORBAN",,  50.827279,   4.327477,,,0,
5758F,,"DOCKS BRUXSEL",,  50.879173,   4.374834,,,0,
5759F,,"DOCKS BRUXSEL",,  50.879569,   4.374806,,,0,
5760,,"DOCKS BRUXSEL",,  50.878679,   4.377120,,,0,
5761,,"DOCKS BRUXSEL",,  50.878903,   4.376690,,,0,
5762,,"THOMAS",,  50.865689,   4.364534,,,0,
5765F,,"PAVILLON",,  50.869555,   4.371338,,,0,
5766,,"VERBOEKHOVEN",,  50.871128,   4.376282,,,0,
5770F,,"VAN PRAET",,  50.881268,   4.373598,,,0,
5771,,"HEEMBEEK",,  50.888810,   4.374978,,,0,
5772,,"BUISSONNETS",,  50.891543,   4.368341,,,0,
5773,,"ARAUCARIA",,  50.893700,   4.362556,,,0,
5776,,"ESPLANADE",,  50.900459,   4.348084,,,0,
5779,,"DE WAND",,  50.895188,   4.355108,,,0,
5801,,"PAIX",,  50.876904,   4.400878,,,0,
5802,,"TILLEUL",,  50.875935,   4.392836,,,0,
5803G,,"HELMET",,  50.873428,   4.386924,,,0,
5804G,,"FOYER SCHAERBEEK.",,  50.871653,   4.384367,,,0,
5805,,"WAELHEM",,  50.870156,   4.382107,,,0,
5806,,"DE WAND",,  50.895399,   4.356785,,,0,
5810,,"TIMMERMANS",,  50.818572,   4.340952,,,0,
5811,,"MOLIERE-LONGCHAMP",,  50.816262,   4.339974,,,0,
5812,,"COGHEN",,  50.812854,   4.338628,,,0,
5812F,,"COGHEN",,  50.812899,   4.338642,,,0,
5813,,"ROOSENDAEL",,  50.810319,   4.337566,,,0,
5813F,,"ROOSENDAEL",,  50.810310,   4.337566,,,0,
5814,,"BENS",,  50.808206,   4.336900,,,0,
5814F,,"BENS",,  50.808206,   4.336900,,,0,
5815,,"XAVIER DE BUE",,  50.803594,   4.336620,,,0,
5815F,,"XAVIER DE BUE",,  50.803603,   4.336620,,,0,
5816B,,"GLOBE",,  50.801077,   4.336479,,,0,
5816G,,"GLOBE",,  50.801068,   4.336508,,,0,
5817,,"UCCLE CALEVOET",,  50.791986,   4.332798,,,0,
5817F,,"UCCLE CALEVOET",,  50.791821,   4.332703,,,0,
5822F,,"VAN HAELEN",,  50.781131,   4.326095,,,0,
5823,,"CREMATORIUM",,  50.784264,   4.327968,,,0,
5824,,"CREMATORIUM",,  50.784768,   4.328336,,,0,
5825,,"ENGELAND",,  50.788856,   4.333542,,,0,
5826,,"BOURDON",,  50.786916,   4.329639,,,0,
5848,,"ALTITUDE CENT",,  50.816566,   4.336214,,,0,
5849,,"ALTITUDE CENT",,  50.816971,   4.336994,,,0,
5853B,,"GLOBE",,  50.799522,   4.336495,,,0,
5853G,,"GLOBE",,  50.799531,   4.336466,,,0,
5854,,"XAVIER DE BUE",,  50.804197,   4.336690,,,0,
5854F,,"XAVIER DE BUE",,  50.804197,   4.336690,,,0,
5855,,"BENS",,  50.807829,   4.336901,,,0,
5855F,,"BENS",,  50.807873,   4.336872,,,0,
5856,,"ROOSENDAEL",,  50.810058,   4.337566,,,0,
5856F,,"ROOSENDAEL",,  50.810058,   4.337552,,,0,
5857,,"COGHEN",,  50.813304,   4.338855,,,0,
5857F,,"COGHEN",,  50.813313,   4.338784,,,0,
5858,,"MOLIERE-LONGCHAMP",,  50.816405,   4.340144,,,0,
5859,,"TIMMERMANS",,  50.818968,   4.341236,,,0,
5860,,"BOURDON",,  50.787123,   4.329824,,,0,
5865,,"WAELHEM",,  50.870057,   4.381496,,,0,
5866,,"FOYER SCHAERBEEK.",,  50.871927,   4.384977,,,0,
5867F,,"HELMET",,  50.874138,   4.387720,,,0,
5868,,"TILLEUL",,  50.875809,   4.392352,,,0,
5872,,"PAIX",,  50.876949,   4.400835,,,0,
5874F,,"LEKAERTS",,  50.871499,   4.406216,,,0,
5905,,"AQUIRIS",,  50.903895,   4.412156,,,0,
